"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_Nano_v2.x","Module:Arduino_Nano",""
"2","D1","1","LED button","LED_THT:LED_D3.0mm",""
"3","D2","1","LED Mode","LED_THT:LED_D3.0mm",""
"4","D3","1","LED Reset","LED_THT:LED_D3.0mm",""
"5","D4, D7, D11, D15","4","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"6","D5","1","LED inpA","LED_THT:LED_D3.0mm",""
"7","D6","1","LED AND ","LED_THT:LED_D3.0mm",""
"8","D8","1","LED inpB","LED_THT:LED_D3.0mm",""
"9","D9","1","LED OR","LED_THT:LED_D3.0mm",""
"10","D10","1","LED XOR","LED_THT:LED_D3.0mm",""
"11","D12","1","LED inpNOT","LED_THT:LED_D3.0mm",""
"12","D13","1","LED Q","LED_THT:LED_D3.0mm",""
"13","D14","1","LED ngate","LED_THT:LED_D3.0mm",""
"14","D16","1","LED trig","LED_THT:LED_D3.0mm",""
"15","D17","1","LED inpCLK","LED_THT:LED_D3.0mm",""
"16","J1","1","INPUT A","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"17","J2","1","INPUT B","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"18","J3","1","AND","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"19","J4","1","OR","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"20","J5","1","XOR","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"21","J6","1","INPUT NOT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"22","J7","1","Q","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"23","J8","1","NGATE","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"24","J9","1","INPUT CLOCK","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"25","J10","1","TRIG","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"26","J11","1","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"27","Q1, Q2, Q3, Q4","4","BC337","Package_TO_SOT_THT:TO-92_Inline",""
"28","R1, R2, R3, R5, R9, R16, R23","7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"29","R4, R7, R14, R20","4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"30","R6, R8, R10, R11, R12, R13, R15, R17, R18, R19, R21, R22","12","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"31","SW1","1","Button","Button_Switch_THT:SW_PUSH_6mm",""
"32","SW2","1","Mode","Button_Switch_THT:SW_PUSH_6mm",""
"33","SW3","1","Reset","Button_Switch_THT:SW_PUSH_6mm",""
